Order #,Acct #,Customer Name,C_ADDR1,C_ADDRNUM1,C_CITY,C_STATE,C_ZIP,Container,Service,Destination,longitude,latitude,FullAddy
900101,20001,SUMMIT DEMOLITION LLC,MAIN ST,1450,HARRISBURG,PA,17101,30 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-76.8844,40.2732,"1450 MAIN ST HARRISBURG,PA 17101"
900102,20002,KEYSTONE ROOFING CO,MARKET ST,320,YORK,PA,17401,20 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-76.7277,39.9626,"320 MARKET ST YORK,PA 17401"
900103,200045-001,"PENN STATE FACILITIES, INC",COLLEGE AVE,100,STATE COLLEGE,PA,16801,40 YARD ROLL OFF,RO-DELIVERY,,-77.8600,40.7934,"100 COLLEGE AVE STATE COLLEGE,PA 16801"
900104,20005,LIBERTY BELL BUILDERS,BROAD ST,2200,PHILADELPHIA,PA,19102,30 YARD ROLL OFF,RO-DISCONTINUE,CENTRAL LANDFILL,-75.1652,39.9526,"2200 BROAD ST PHILADELPHIA,PA 19102"
900105,200061-002,VALLEY FORGE CONCRETE,INDUSTRIAL BLVD,875,KING OF PRUSSIA,PA,19406,30 YARD COMPACTOR,RO-DUMP & RETURN3L,CENTRAL LANDFILL,-75.3963,40.0912,"875 INDUSTRIAL BLVD KING OF PRUSSIA,PA 19406"
900106,20007,INDEPENDENCE MALL MGMT,CHESTNUT ST,600,PHILADELPHIA,PA,19106,30 YARD ROLL OFF,RO-DUMP & RETURN,SOUTHEAST TRANSFER,-75.1487,39.9496,"600 CHESTNUT ST PHILADELPHIA,PA 19106"
900107,20008,QUAKER RIDGE APARTMENTS,OAK LANE,44,LANCASTER,PA,17602,20 YARD ROLL OFF,RO-DELIVERY,,-76.3055,40.0379,"44 OAK LANE LANCASTER,PA 17602"
900108,200093,BETHLEHEM STEEL REDEVELOPMENT,3RD ST,1800,BETHLEHEM,PA,18015,40 YARD ROLL OFF,RO-DUMP & RETURN,LEHIGH VALLEY LANDFILL,-75.3785,40.6084,"1800 3RD ST BETHLEHEM,PA 18015"
900109,20010,POCONO MOUNTAIN RESORT,RESORT DR,500,MOUNT POCONO,PA,18344,30 YARD ROLL OFF,RO-DELIVERY,,-75.3596,41.1220,"500 RESORT DR MOUNT POCONO,PA 18344"
900110,20011,ALLEGHENY COUNTY SCHOOLS,FORBES AVE,4200,PITTSBURGH,PA,15213,30 YARD ROLL OFF,RO-DISCONTINUE,WESTMORELAND LANDFILL,-79.9530,40.4443,"4200 FORBES AVE PITTSBURGH,PA 15213"
900111,20012,HERSHEY PARK SERVICES,CHOCOLATE AVE,100,HERSHEY,PA,17033,20 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-76.6506,40.2862,"100 CHOCOLATE AVE HERSHEY,PA 17033"
900112,20013,BRANDYWINE EXCAVATING,CREEK RD,2750,WEST CHESTER,PA,19382,30 YARD ROLL OFF,RO-DUMP & RETURN,SOUTHEAST TRANSFER,-75.6010,39.9607,"2750 CREEK RD WEST CHESTER,PA 19382"
900113,200145-001,READING TERMINAL MARKET,FILBERT ST,51,PHILADELPHIA,PA,19107,4 YARD FRONTLOAD,WOT-SWAP,,-75.1592,39.9533,"51 FILBERT ST PHILADELPHIA,PA 19107"
900114,20015,GETTYSBURG BATTLEFIELD INN,STEINWEHR AVE,300,GETTYSBURG,PA,17325,20 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-77.2311,39.8207,"300 STEINWEHR AVE GETTYSBURG,PA 17325"
900115,20016,SCRANTON ELECTRIC CO,LACKAWANNA AVE,900,SCRANTON,PA,18503,40 YARD ROLL OFF,RO-DELIVERY,,-75.6624,41.4090,"900 LACKAWANNA AVE SCRANTON,PA 18503"
900116,20017,DUTCH COUNTRY HOMES,LINCOLN HWY,1300,LANCASTER,PA,17602,30 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-76.2788,40.0259,"1300 LINCOLN HWY LANCASTER,PA 17602"
900117,20018,ERIE LAKEFRONT DEVELOPMENT,STATE ST,200,ERIE,PA,16501,30 YARD ROLL OFF,RO-DELIVERY,,-80.0851,42.1292,"200 STATE ST ERIE,PA 16501"
900118,20019,MASON DIXON TREE SERVICE,MASON DIXON RD,2100,GETTYSBURG,PA,17325,20 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-77.2543,39.7290,"2100 MASON DIXON RD GETTYSBURG,PA 17325"
900119,20020,AMISH COUNTRY BUILDERS,ROUTE 30,5500,RONKS,PA,17572,30 YARD ROLL OFF,RO-DUMP & RETURN,CENTRAL LANDFILL,-76.1705,40.0386,"5500 ROUTE 30 RONKS,PA 17572"
900120,20021,LEHIGH UNIVERSITY FACILITIES,PACKER AVE,27,BETHLEHEM,PA,18015,30 YARD ROLL OFF,RO-DISCONTINUE,LEHIGH VALLEY LANDFILL,-75.3772,40.6066,"27 PACKER AVE BETHLEHEM,PA 18015"
